Summary,Start Time,End Time,Location
Engenharia de Software - Software Engineering,Mon May 08 18:00:00 WEST 2023,Mon May 08 19:30:00 WEST 2023,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Nov 23 19:30:00 WET 2022,Wed Nov 23 21:00:00 WET 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Fri Feb 17 18:00:00 WET 2023,Fri Feb 17 19:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed Mar 01 18:00:00 WET 2023,Wed Mar 01 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Oct 26 19:30:00 WEST 2022,Wed Oct 26 21:00:00 WEST 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed May 17 19:30:00 WEST 2023,Wed May 17 21:00:00 WEST 2023,"0S08, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Tue Sep 27 21:00:00 WEST 2022,Tue Sep 27 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Thu Oct 13 18:00:00 WEST 2022,Thu Oct 13 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Oct 12 19:30:00 WEST 2022,Wed Oct 12 21:00:00 WEST 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Sep 14 21:00:00 WEST 2022,Wed Sep 14 22:30:00 WEST 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Thu Dec 15 19:30:00 WET 2022,Thu Dec 15 21:00:00 WET 2022,"1E05, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Sep 26 21:00:00 WEST 2022,Mon Sep 26 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Feb 10 21:00:00 WET 2023,Fri Feb 10 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed Feb 15 19:30:00 WET 2023,Wed Feb 15 21:00:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue Mar 21 18:00:00 WET 2023,Tue Mar 21 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Thu Nov 10 18:00:00 WET 2022,Thu Nov 10 19:30:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 14 19:30:00 WET 2023,Tue Feb 14 21:00:00 WET 2023,"0S02, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Wed Sep 14 18:00:00 WEST 2022,Wed Sep 14 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Apr 17 18:00:00 WEST 2023,Mon Apr 17 19:30:00 WEST 2023,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Oct 10 18:00:00 WEST 2022,Mon Oct 10 19:30:00 WEST 2022,"Auditório 2, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Oct 03 19:30:00 WEST 2022,Mon Oct 03 21:00:00 WEST 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Fri Feb 17 19:30:00 WET 2023,Fri Feb 17 21:00:00 WET 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Sep 28 18:00:00 WEST 2022,Wed Sep 28 19:30:00 WEST 2022,"C7.06, 7, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon May 15 18:00:00 WEST 2023,Mon May 15 19:30:00 WEST 2023,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Mar 13 11:00:00 WET 2023,Mon Mar 13 12:30:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Wed Mar 01 21:00:00 WET 2023,Wed Mar 01 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Sep 28 19:30:00 WEST 2022,Wed Sep 28 21:00:00 WEST 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon May 15 21:00:00 WEST 2023,Mon May 15 22:30:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Nov 30 21:00:00 WET 2022,Wed Nov 30 22:30:00 WET 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Nov 23 18:00:00 WET 2022,Wed Nov 23 19:30:00 WET 2022,"C7.06, 7, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 07 21:00:00 WET 2023,Tue Feb 07 22:30:00 WET 2023,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Fri Apr 14 18:00:00 WEST 2023,Fri Apr 14 19:30:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Mar 20 18:00:00 WET 2023,Mon Mar 20 19:30:00 WET 2023,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Nov 21 21:00:00 WET 2022,Mon Nov 21 22:30:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Mar 20 11:00:00 WET 2023,Mon Mar 20 12:30:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Nov 23 21:00:00 WET 2022,Wed Nov 23 22:30:00 WET 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Tue Sep 13 18:00:00 WEST 2022,Tue Sep 13 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Feb 13 19:30:00 WET 2023,Mon Feb 13 21:00:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Oct 24 18:00:00 WEST 2022,Mon Oct 24 19:30:00 WEST 2022,"Auditório 2, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Feb 27 19:30:00 WET 2023,Mon Feb 27 21:00:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Oct 17 21:00:00 WEST 2022,Mon Oct 17 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Thu Oct 20 18:00:00 WEST 2022,Thu Oct 20 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Fri Nov 11 18:00:00 WET 2022,Fri Nov 11 19:30:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Apr 24 19:30:00 WEST 2023,Mon Apr 24 21:00:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Oct 12 18:00:00 WEST 2022,Wed Oct 12 19:30:00 WEST 2022,"C7.06, 7, Edifício II (ISCTE-IUL), ISCTE-IUL"
Introdução à Ciência de Dados - Introduction to Data Science,Fri Oct 28 13:00:00 WEST 2022,Fri Oct 28 14:30:00 WEST 2022,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Sep 14 18:00:00 WEST 2022,Wed Sep 14 19:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Thu Dec 15 18:00:00 WET 2022,Thu Dec 15 19:30:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Mar 21 21:00:00 WET 2023,Tue Mar 21 22:30:00 WET 2023,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Feb 13 18:00:00 WET 2023,Mon Feb 13 19:30:00 WET 2023,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Feb 06 11:00:00 WET 2023,Mon Feb 06 12:30:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Tue Nov 15 21:00:00 WET 2022,Tue Nov 15 22:30:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Oct 19 21:00:00 WEST 2022,Wed Oct 19 22:30:00 WEST 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon May 22 19:30:00 WEST 2023,Mon May 22 21:00:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Tue Oct 25 18:00:00 WEST 2022,Tue Oct 25 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Tue Dec 06 18:00:00 WET 2022,Tue Dec 06 19:30:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Tue Sep 27 18:00:00 WEST 2022,Tue Sep 27 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Tue Oct 25 18:00:00 WEST 2022,Tue Oct 25 19:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Wed Nov 30 19:30:00 WET 2022,Wed Nov 30 21:00:00 WET 2022,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Tue Oct 25 21:00:00 WEST 2022,Tue Oct 25 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Oct 19 18:00:00 WEST 2022,Wed Oct 19 19:30:00 WEST 2022,"C7.06, 7, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Wed Apr 26 21:00:00 WEST 2023,Wed Apr 26 22:30:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Wed Apr 12 21:00:00 WEST 2023,Wed Apr 12 22:30:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Dec 05 19:30:00 WET 2022,Mon Dec 05 21:00:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Fri Mar 31 19:30:00 WEST 2023,Fri Mar 31 21:00:00 WEST 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon May 08 21:00:00 WEST 2023,Mon May 08 22:30:00 WEST 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Tue Oct 11 18:00:00 WEST 2022,Tue Oct 11 19:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Fri Nov 18 18:00:00 WET 2022,Fri Nov 18 19:30:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri May 05 21:00:00 WEST 2023,Fri May 05 22:30:00 WEST 2023,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Apr 24 11:00:00 WEST 2023,Mon Apr 24 12:30:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon May 29 09:30:00 WEST 2023,Mon May 29 11:00:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Introdução à Ciência de Dados - Introduction to Data Science,Thu Oct 13 13:00:00 WEST 2022,Thu Oct 13 14:30:00 WEST 2022,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Dec 12 19:30:00 WET 2022,Mon Dec 12 21:00:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Introdução à Ciência de Dados - Introduction to Data Science,Fri Nov 04 13:00:00 WET 2022,Fri Nov 04 14:30:00 WET 2022,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Sep 19 21:00:00 WEST 2022,Mon Sep 19 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Mar 13 18:00:00 WET 2023,Mon Mar 13 19:30:00 WET 2023,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 16 19:30:00 WEST 2022,Fri Sep 16 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Tue Oct 04 21:00:00 WEST 2022,Tue Oct 04 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Mar 20 21:00:00 WET 2023,Mon Mar 20 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Sep 12 19:30:00 WEST 2022,Mon Sep 12 21:00:00 WEST 2022,"Auditório 0NE03 - Mário Murteira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Nov 14 21:00:00 WET 2022,Mon Nov 14 22:30:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue Mar 07 18:00:00 WET 2023,Tue Mar 07 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Nov 21 19:30:00 WET 2022,Mon Nov 21 21:00:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Wed Nov 30 18:00:00 WET 2022,Wed Nov 30 19:30:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Mar 06 19:30:00 WET 2023,Mon Mar 06 21:00:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri May 26 21:00:00 WEST 2023,Fri May 26 22:30:00 WEST 2023,"Auditório 4, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue Feb 28 18:00:00 WET 2023,Tue Feb 28 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Wed Mar 15 21:00:00 WET 2023,Wed Mar 15 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Nov 07 19:30:00 WET 2022,Mon Nov 07 21:00:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 30 21:00:00 WEST 2022,Fri Sep 30 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Mar 03 21:00:00 WET 2023,Fri Mar 03 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Mar 20 09:30:00 WET 2023,Mon Mar 20 11:00:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Fri Mar 10 19:30:00 WET 2023,Fri Mar 10 21:00:00 WET 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue May 23 18:00:00 WEST 2023,Tue May 23 19:30:00 WEST 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Sep 20 19:30:00 WEST 2022,Tue Sep 20 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Feb 13 09:30:00 WET 2023,Mon Feb 13 11:00:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Introdução à Ciência de Dados - Introduction to Data Science,Fri Oct 14 13:00:00 WEST 2022,Fri Oct 14 14:30:00 WEST 2022,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 23 19:30:00 WEST 2022,Fri Sep 23 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Sep 27 19:30:00 WEST 2022,Tue Sep 27 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Oct 18 19:30:00 WEST 2022,Tue Oct 18 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
